rank,first_name,second_name,w_points,w_goals,w_assists,w_goal_involvements,w_xgi,w_bonus,w_minutes,seasons,player,position,latest_team,latest_season,gi_per90,rating,ranking_method
533,Benjamin,Arthur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Arthur,DEF,Brentford,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
534,Cedric,Kipre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Kipre,DEF,Ipswich,2020-21,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
535,Calvin,Ramsay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Ramsay,DEF,Liverpool,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
536,Tommy,Setford,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Setford,GKP,Arsenal,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
537,Ismeal,Kabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Kabia,MID,Arsenal,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
538,Ashley,Phillips,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Phillips,DEF,Hull,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
539,Tayo,Adaramola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Adaramola,DEF,Crystal Palace,2023-24,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
540,Josh,Wilson-Esbrand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Wilson-Esbrand,DEF,Man City,2024-25,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
541,Harvey,Davies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Davies,GKP,Liverpool,2024-25,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
542,Ibrahim,Osman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,I.Osman,MID,Brighton,2024-25,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
543,Samuel,Iling-Junior,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Iling Jr,MID,Aston Villa,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
544,Archie,Harris,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Harris,DEF,Bournemouth,2024-25,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
545,Matai,Akinmboni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Akinmboni,DEF,Bournemouth,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
546,Julian,Eyestone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,Eyestone,GKP,Brentford,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
547,Matthew,Cox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Cox,GKP,Brentford,2025-26,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
548,Bobby,Thomas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Thomas,DEF,Coventry,2023-24,0.0,0.0,"recency-weighted FPL points, decay 8**(-age/3)"
549,Marcus,Bettinelli,-0.07,0.0,0.0,0.0,0.0,0.0,2.46,7,Bettinelli,GKP,Man City,2025-26,0.0,-0.07,"recency-weighted FPL points, decay 8**(-age/3)"
