id,name,full_name,team,pos,price,status,chance_next,news,minutes,starts,total_points,points_per_game,form,selected_by_pct,ep_next,xG,xA,xGI,xGC,xG_per90,xA_per90,xGI_per90,xGC_per90,goals,assists,goals_minus_xG,assists_minus_xA,clean_sheets,goals_conceded,goals_conceded_per90,clean_sheets_per90,saves,saves_per90,own_goals,pens_saved,pens_missed,yellow,red,tackles,cbi,recoveries,defensive_contribution,def_contrib_per90,influence,creativity,threat,ict_index,bonus,bps
464,Wissa,Yoane Wissa,Newcastle,FWD,6.0,a,,,171,2,12,6.0,6.0,6.6,6.0,1.35,0.02,1.37,2.93,0.71,0.01,0.72,1.54,1,1,-0.35,0.98,1,1,0.53,0.53,0,0.0,0,0,0,1,0,5,2,7,14,7.37,20.0,16.3,28.0,6.4,2,44
593,Dedić,Amar Dedic,Newcastle,DEF,4.5,a,,,180,2,12,6.0,6.0,1.0,6.0,0.03,0.06,0.09,4.1,0.02,0.03,0.05,2.05,0,1,-0.03,0.94,1,2,1.0,0.5,0,0.0,0,0,0,0,0,5,12,7,17,8.5,16.4,1.2,5.0,2.3,2,36
483,Ndoye,Dan Ndoye,Nott'm Forest,MID,5.5,a,,,126,2,12,6.0,6.0,0.5,6.0,0.35,0.63,0.98,1.67,0.25,0.45,0.7,1.19,1,0,0.65,-0.63,1,1,0.71,0.71,0,0.0,0,0,0,0,0,1,2,9,12,8.57,1.4,2.5,0.0,0.4,2,35
10,White,Benjamin White,Arsenal,DEF,5.5,a,100,,90,1,11,11.0,5.5,7.0,5.5,0.18,0.21,0.39,0.2,0.18,0.21,0.39,0.2,0,1,-0.18,0.79,1,0,0.0,1.0,0,0.0,0,0,0,0,0,1,4,3,5,5.0,33.2,26.8,13.0,7.3,2,37
15,Ødegaard,Martin Ødegaard,Arsenal,MID,6.6,a,,,75,1,11,11.0,5.5,11.9,5.5,0.21,0.1,0.31,0.06,0.25,0.12,0.37,0.07,1,0,0.79,-0.1,1,0,0.0,1.2,0,0.0,0,0,0,0,0,3,1,4,8,9.6,50.6,41.5,31.0,12.3,3,41
68,Tavernier,Marcus Tavernier,Bournemouth,MID,6.0,a,,,180,2,11,5.5,5.5,2.5,5.5,0.49,0.29,0.78,4.09,0.24,0.14,0.38,2.04,1,0,0.51,-0.29,0,3,1.5,0.0,0,0.0,0,0,0,1,0,6,3,10,19,9.5,40.0,17.2,18.0,7.5,3,52
87,Ajer,Kristoffer Ajer,Brentford,DEF,4.5,a,,,180,2,11,5.5,5.5,4.4,5.5,0.11,0.03,0.14,2.03,0.06,0.02,0.08,1.02,0,0,-0.11,-0.03,1,1,0.5,0.5,0,0.0,0,0,0,1,0,2,25,5,27,13.5,20.0,0.9,35.0,5.6,0,36
127,Gomez,Diego Gómez Amarilla,Brighton,MID,5.0,a,,,175,2,11,5.5,5.5,4.0,5.5,0.56,0.65,1.21,3.22,0.29,0.33,0.62,1.66,0,2,-0.56,1.35,1,4,2.06,0.51,0,0.0,0,0,0,0,0,5,3,3,11,5.66,33.0,25.1,41.0,9.9,0,42
173,Thomas,Bobby Thomas,Coventry City,DEF,4.0,a,,,167,2,11,5.5,5.5,8.1,5.5,0.02,0.02,0.04,2.06,0.01,0.01,0.02,1.11,0,0,-0.02,-0.02,1,3,1.62,0.54,0,0.0,0,0,0,0,0,1,18,8,19,10.24,23.2,11.2,1.0,3.5,2,39
327,Bijol,Jaka Bijol,Leeds,DEF,5.0,a,,,135,2,11,5.5,5.5,1.0,5.5,0.11,0.0,0.11,1.21,0.07,0.0,0.07,0.81,0,0,-0.11,0.0,1,1,0.67,0.67,0,0.0,0,0,0,0,0,1,16,7,17,11.33,23.6,0.4,15.0,3.9,2,28
