gw,element,player,pos,start,cap,proj,snapshot_at,actual,graded
2,529,Roefs,GK,False,False,3.4,2026-08-27T20:08+00:00,6,2026-09-01T10:49+00:00
2,231,Keane,DEF,False,False,3.1,2026-08-27T20:08+00:00,0,2026-09-01T10:49+00:00
2,533,Mukiele,DEF,True,False,4.0,2026-08-27T20:08+00:00,9,2026-09-01T10:49+00:00
2,55,Watkins,FWD,True,False,4.3,2026-08-27T20:08+00:00,0,2026-09-01T10:49+00:00
3,384,Donnarumma,GK,True,False,3.8,2026-09-03T10:36+00:00,7,2026-09-07T10:59+00:00
3,8,Calafiori,DEF,True,False,3.9,2026-09-03T10:36+00:00,2,2026-09-07T10:59+00:00
3,533,Mukiele,DEF,False,False,3.2,2026-09-03T10:36+00:00,4,2026-09-07T10:59+00:00
3,391,Gvardiol,DEF,True,False,4.2,2026-09-03T10:36+00:00,8,2026-09-07T10:59+00:00
3,12,Saka,MID,True,False,6.0,2026-09-03T10:36+00:00,2,2026-09-07T10:59+00:00
3,427,Mbeumo,MID,True,False,4.8,2026-09-03T10:36+00:00,8,2026-09-07T10:59+00:00
3,261,Iwobi,MID,True,False,6.2,2026-09-03T10:36+00:00,2,2026-09-07T10:59+00:00
3,397,Semenyo,MID,True,False,4.9,2026-09-03T10:36+00:00,6,2026-09-07T10:59+00:00
3,295,McBurnie,FWD,False,False,4.5,2026-09-03T10:36+00:00,2,2026-09-07T10:59+00:00
3,379,Isak,FWD,True,False,5.9,2026-09-03T10:36+00:00,13,2026-09-07T10:59+00:00
3,106,Thiago,FWD,True,False,4.7,2026-09-03T10:36+00:00,2,2026-09-07T10:59+00:00
3,529,Roefs,GK,False,False,2.6,2026-09-03T10:36+00:00,2,2026-09-07T10:59+00:00
3,231,Keane,DEF,False,False,0.7,2026-09-03T10:36+00:00,0,2026-09-07T10:59+00:00
3,480,Gibbs-White,MID,True,True,6.7,2026-09-03T10:36+00:00,3,2026-09-07T10:59+00:00
3,10,White,DEF,True,False,3.6,2026-09-03T10:36+00:00,2,2026-09-07T10:59+00:00
4,384,Donnarumma,GK,True,False,2.8,2026-09-12T10:51+00:00,7,2026-09-15T05:39+00:00
4,8,Calafiori,DEF,True,False,3.9,2026-09-12T10:51+00:00,6,2026-09-15T05:39+00:00
4,533,Mukiele,DEF,False,False,3.0,2026-09-12T10:51+00:00,0,2026-09-15T05:39+00:00
4,391,Gvardiol,DEF,True,False,3.1,2026-09-12T10:51+00:00,11,2026-09-15T05:39+00:00
4,12,Saka,MID,True,False,5.0,2026-09-12T10:51+00:00,8,2026-09-15T05:39+00:00
4,427,Mbeumo,MID,True,False,4.4,2026-09-12T10:51+00:00,2,2026-09-15T05:39+00:00
4,480,Gibbs-White,MID,True,True,5.3,2026-09-12T10:51+00:00,8,2026-09-15T05:39+00:00
4,397,Semenyo,MID,True,False,4.0,2026-09-12T10:51+00:00,3,2026-09-15T05:39+00:00
4,261,Iwobi,MID,True,False,4.9,2026-09-12T10:51+00:00,3,2026-09-15T05:39+00:00
4,379,Isak,FWD,True,False,4.9,2026-09-12T10:51+00:00,2,2026-09-15T05:39+00:00
4,106,Thiago,FWD,True,False,4.4,2026-09-12T10:51+00:00,1,2026-09-15T05:39+00:00
4,529,Roefs,GK,False,False,2.6,2026-09-12T10:51+00:00,2,2026-09-15T05:39+00:00
4,231,Keane,DEF,False,False,0.6,2026-09-12T10:51+00:00,0,2026-09-15T05:39+00:00
4,295,McBurnie,FWD,False,False,4.0,2026-09-12T10:51+00:00,4,2026-09-15T05:39+00:00
4,10,White,DEF,True,False,4.0,2026-09-12T10:51+00:00,1,2026-09-15T05:39+00:00
